user_id,signup_ts,acquisition_channel,plan_tier,sessions_last_30d,net_revenue_usd,open_ticket_count,churn_signal,customer_health_score
2315,2025-10-14 11:08:38,partner,free,5,0.0,0,0,65
2441,2025-10-14 12:43:27,partner,free,3,0.0,0,1,36
1488,2025-10-14 13:12:04,paid_search,free,4,0.0,0,0,63
2258,2025-10-14 13:14:32,organic,free,5,0.0,1,1,33
1409,2025-10-14 14:04:14,paid_search,pro,3,46.3,0,0,63
1482,2025-10-14 14:25:58,paid_search,free,3,0.0,0,0,61
1949,2025-10-14 14:26:07,paid_search,pro,7,133.78,0,0,75
1995,2025-10-14 16:17:57,partner,free,4,0.0,0,1,38
1913,2025-10-14 18:30:51,referral,pro,3,209.14,0,1,46
3190,2025-10-14 18:43:06,social,free,3,0.0,0,0,61
1739,2025-10-14 18:59:52,paid_search,pro,5,150.49,0,0,72
1622,2025-10-14 21:11:30,social,free,2,0.0,0,1,34
3233,2025-10-14 22:03:02,organic,free,1,0.0,0,0,57
901,2025-10-14 22:15:43,paid_search,pro,6,158.65,0,0,74
1294,2025-10-14 22:36:37,partner,free,4,0.0,0,1,38
2627,2025-10-14 22:57:07,organic,free,2,0.0,0,0,59
1237,2025-10-14 23:13:19,referral,pro,5,136.1,0,0,71
2788,2025-10-14 23:17:19,organic,pro,2,142.99,1,1,34
1550,2025-10-14 23:18:18,social,free,2,0.0,0,1,34
773,2025-10-14 23:44:05,referral,free,4,0.0,0,1,38
381,2025-10-15 00:56:03,partner,pro,4,204.21,0,0,73
3216,2025-10-15 01:02:42,paid_search,pro,5,205.82,1,0,68
846,2025-10-15 01:17:16,organic,free,1,0.0,0,0,57
2645,2025-10-15 01:24:45,paid_search,pro,3,99.7,0,1,40
845,2025-10-15 01:24:47,social,free,3,0.0,0,0,61
2400,2025-10-15 04:15:16,organic,free,3,0.0,0,1,36
465,2025-10-15 04:24:06,organic,pro,6,169.94,0,0,75
575,2025-10-15 06:01:43,social,free,7,0.0,0,0,69
1190,2025-10-15 06:42:56,social,pro,4,153.29,1,1,38
104,2025-10-15 06:51:12,social,free,4,0.0,0,1,38
2201,2025-10-15 07:16:12,social,enterprise,3,594.25,1,1,49
707,2025-10-15 08:16:06,organic,free,8,0.0,1,1,39
3398,2025-10-15 08:34:33,social,free,5,0.0,0,1,40
1279,2025-10-15 09:02:57,paid_search,pro,5,153.43,0,1,47
1175,2025-10-15 10:15:52,referral,enterprise,4,544.24,0,1,58
1807,2025-10-15 10:21:55,social,free,5,0.0,0,1,40
1532,2025-10-15 12:19:05,organic,free,6,0.0,1,0,60
2442,2025-10-15 12:50:41,referral,pro,3,143.22,0,1,43
303,2025-10-15 14:12:31,social,pro,6,180.8,1,1,44
1763,2025-10-15 15:00:11,social,free,3,0.0,0,0,61
1070,2025-10-15 16:32:44,paid_search,pro,6,209.4,0,1,52
801,2025-10-15 20:28:26,paid_search,free,3,0.0,0,1,36
790,2025-10-15 21:04:54,paid_search,enterprise,5,420.8,0,1,60
1682,2025-10-15 21:33:47,social,free,4,0.0,0,0,63
1121,2025-10-16 01:42:10,paid_search,pro,7,162.5,0,1,52
410,2025-10-16 01:47:11,paid_search,free,6,0.0,0,1,42
3102,2025-10-16 03:13:14,partner,free,2,0.0,0,0,59
839,2025-10-16 03:37:08,paid_search,free,3,0.0,0,0,61
1038,2025-10-16 03:56:11,social,free,5,0.0,0,1,40
889,2025-10-16 07:00:30,organic,free,4,0.0,0,0,63
3135,2025-10-16 07:10:11,social,free,2,0.0,0,1,34
1624,2025-10-16 09:23:59,paid_search,pro,1,197.94,0,1,41
2974,2025-10-16 11:32:26,organic,free,7,0.0,0,1,44
1366,2025-10-16 12:32:09,organic,enterprise,8,596.48,0,1,66
478,2025-10-16 13:01:11,organic,pro,5,90.4,0,0,69
415,2025-10-16 13:22:43,organic,free,2,0.0,0,1,34
1652,2025-10-16 13:57:08,referral,free,6,0.0,0,1,42
1594,2025-10-16 16:28:06,paid_search,free,6,0.0,0,0,67
233,2025-10-16 17:52:44,organic,pro,5,206.67,0,1,50
2089,2025-10-16 18:34:38,paid_search,pro,2,140.75,0,1,41
1529,2025-10-16 20:52:06,organic,enterprise,5,609.24,0,1,60
2170,2025-10-16 21:51:06,organic,free,5,0.0,0,0,65
540,2025-10-16 22:33:22,social,free,5,0.0,0,1,40
300,2025-10-16 23:53:34,social,free,5,0.0,0,1,40
1167,2025-10-17 00:49:54,social,free,2,0.0,0,1,34
369,2025-10-17 01:20:19,organic,pro,2,205.44,0,1,44
170,2025-10-17 03:03:38,paid_search,free,3,0.0,0,0,61
272,2025-10-17 03:19:30,organic,pro,7,171.79,0,1,52
1744,2025-10-17 04:17:36,organic,pro,9,18.4,2,1,34
2137,2025-10-17 04:32:43,social,pro,5,150.57,0,1,47
3308,2025-10-17 05:38:41,referral,free,1,0.0,0,1,32
3118,2025-10-17 05:48:55,paid_search,free,2,0.0,0,1,34
1783,2025-10-17 05:52:00,organic,pro,5,95.34,0,0,69
